"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25552","Login with empty credentials for password @regression","chromium","2026-06-20","passed","2026-06-20","Login functionality","authentication\login.spec.ts","",""
"","29722","Login with valid credentials @smoke","chromium","2026-06-20","passed","2026-06-20","Login functionality","authentication\login.spec.ts","",""
"","22356","Verify check radio button is working @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","22749","Verify user is able to update all the personal details and success toaster us displayed @smoke @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","19532","verify file is uploaded successfully @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","10039","Login with invalid credentials @regression","chromium","2026-06-20","passed","2026-06-20","Login functionality","authentication\login.spec.ts","",""
"","25799","Verify first name is updated successfully @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","7548","Login with empty credentials for username @regression","chromium","2026-06-20","passed","2026-06-20","Login functionality","authentication\login.spec.ts","",""
"","29315","Verify My Info page @regression @smoke","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","28911","Veriy that user is able to select the date of birth @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","35872","logout from the application","chromium","2026-06-20","broken","2026-06-20","","authentication\logout.spec.ts","",""
"","27147","Verify that user is able to select the marital status @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","28497","Verify last name is updated successfully @regression","chromium","2026-06-20","passed","2026-06-20","My Info Page Tests","myInfo\myInfo.spec.ts","",""
"","26332","Authenticate Admin User","setup","2026-06-20","passed","2026-06-20","","setup\auth.setup.ts","",""
